Condition,headYaw,headPitch,gazeYaw,gazePitch,rand,ID,Confidence2
Ukiyo-e,65.31718864,-0.630253575,-39.82056676,10.82890233,0.150852645,1,1
Ukiyo-e,26.2987628,40.62270767,-27.27279105,37.29955246,0.824292091,2,1
Ukiyo-e,18.62112834,40.62270767,-8.021409132,41.31025703,0.380594048,3,1
Ukiyo-e,-26.64253747,22.00157933,19.13679036,24.17881895,0.678328554,4,2
Ukiyo-e,-47.555497,3.323155212,34.03369303,16.10011404,0.479629297,5,1
Ukiyo-e,28.41870664,22.34535401,-23.03290336,23.2047907,0.369944835,6,1
Ukiyo-e,65.14530131,-13.75098708,-28.18952352,2.521014299,0.855263545,7,1
Ukiyo-e,29.67921379,33.68991835,-31.0543125,38.61735539,0.64445309,8,1
Ukiyo-e,41.19566547,28.47600242,-33.80450991,27.9603404,0.010463461,9,1
Ukiyo-e,-22.57453713,3.609634109,8.938141604,7.620338675,0.573519995,10,2
Ukiyo-e,38.38817227,15.24067735,-30.93972094,21.77239621,0.621930944,11,1
Ukiyo-e,33.23155212,35.8098622,-20.56918485,30.53865048,0.915122507,12,1
Ukiyo-e,17.24602963,37.70062292,-9.969465635,34.20558037,0.078381075,13,1
Ukiyo-e,64.85882241,-4.640958141,-47.15442654,13.29262085,0.780303952,14,1
Ukiyo-e,48.70141259,4.927437038,-32.37211542,13.52180397,0.46781439,15,1
Ukiyo-e,27.6738615,27.73115728,-16.44388872,25.38203032,0.068952,16,2
Ukiyo-e,-27.38738261,19.25138192,24.57988941,24.63718519,0.22899516,17,1
Ukiyo-e,32.54400276,39.76327098,-23.94963584,47.2690181,0.386609961,18,1
Ukiyo-e,33.40343946,56.43634282,-40.22163722,48.30034213,0.255379829,19,1
Ukiyo-e,-15.46986047,-4.526366582,7.276563998,0,0.531602408,20,1
Post_Renaissance,20.39729751,21.19943842,-14.43853644,19.99622705,0.223002161,1,1
Post_Renaissance,-23.60586116,15.69904359,17.58980431,19.76704393,0.215078356,2,1
Post_Renaissance,11.51645168,14.43853644,-11.97481792,14.66771956,0.054449335,3,1
Post_Renaissance,-19.93893127,18.39194522,16.27200138,22.51724135,0.28963291,4,1
Post_Renaissance,-38.33087649,23.09019914,28.47600242,22.68912869,0.625822353,5,1
Post_Renaissance,-17.13143807,6.818197762,8.021409132,12.26129682,0.643021316,6,1
Post_Renaissance,17.87628321,18.96490302,-13.23532507,18.16276211,0.745549085,7,1
Post_Renaissance,15.98552248,17.30332541,-3.724225668,18.62112834,0.505337876,8,1
Post_Renaissance,-12.54777571,12.77695883,11.05808545,12.43318415,0.729434605,9,1
Post_Renaissance,-9.052733163,20.91295952,1.718873385,20.62648062,0.074751518,10,1
