"","confidence","headYaw","headPitch","gazeYaw","gazePitch","filename","ACNo.","画題等","画題２","役名.代.役者","版元文字","版元1","判種","続方向","落款印章","絵師","改印等","西暦","和暦","地域","劇場","外題","外題よみ","所作題","所作題よみ","主外題","系統分類題","所蔵","画中文字","homeURL","SmallImageURL","LargeImageURL","year"
"91",0.875,27.7884530638449,8.7662542655016,-14.8969026734014,12.4904799338519,"arcUP4262","arcUP4262","「東錦浮世稿談」","「桃川燕山」「箱王丸」「八幡七郎」","","近久","","大判/錦絵","横","一魁斎芳年筆(芳桐印)","芳年","",NA,"","","","","","","","","武者絵","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP4262","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP4262.jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4262.jpg",NA
"92",0.875,7.10467665962221,9.56839517868475,-5.5003948332559,3.43774677078494,"arcUP4262","arcUP4262","「東錦浮世稿談」","「桃川燕山」「箱王丸」「八幡七郎」","","近久","","大判/錦絵","横","一魁斎芳年筆(芳桐印)","芳年","",NA,"","","","","","","","","武者絵","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP4262","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP4262.jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4262.jpg",NA
"93",0.025,-0.74484513367007,-2.9220847551672,-0.687549354156988,-5.95876106936056,"arcUP4262","arcUP4262","「東錦浮世稿談」","「桃川燕山」「箱王丸」「八幡七郎」","","近久","","大判/錦絵","横","一魁斎芳年筆(芳桐印)","芳年","",NA,"","","","","","","","","武者絵","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP4262","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP4262.jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4262.jpg",NA
"94",0.025,77.922260137792,-104.106431375271,-44.2896375636126,16.0428182636631,"arcUP4293","arcUP4293","「木下藤吉久吉　坂東彦三郎」","","木下藤吉久吉 〈5〉坂東彦三郎","","","大判/錦絵","横","－","国周","－",1873,"明治０６","東京","守田","祇園祭礼信仰記","ぎおんさいれいしんこうき","","","祇園祭礼信仰記","役者絵","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP4293","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP4293.jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4293.jpg",1873
"95",0.025,-72.4218653045361,49.5035534993031,28.9343686541066,22.1734666715629,"arcUP4303(F)","arcUP4303(F)","","","","","","","横","－","国周","",NA,"","","","","","","","","","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP4303(F)","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP4303(F).jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4303(F).jpg",NA
"96",0.025,-5.44309905374282,1.08861981074856,6.70360620303063,10.3705360918679,"arcUP4306(F)","arcUP4306(F)","","","","","","","横","守川周重筆(年玉印)","国重","",NA,"","","","","","","","","","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP4306(F)","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP4306(F).jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4306(F).jpg",NA
"97",0.025,-27.845748843358,30.2521715829075,19.5378608139611,24.5798894111123,"arcUP4317","arcUP4317","","","","ト","","大判/錦絵","横","一勇斎国芳画(芳桐印)","国芳","馬込、浜",NA,"","","","","","","","","役者絵","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP4317","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP4317.jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4317.jpg",NA
"98",0.025,-73.4531893357715,-51.5662015617741,53.0558918291142,-4.29718346348117,"arcUP4326(F)","arcUP4326(F)","","","","","","","横","国周筆(年玉印)","国周","",NA,"","","","","","","","","","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP4326(F)","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP4326(F).jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4326(F).jpg",NA
"99",0.875,-13.0061419494697,30.7105378190121,11.9175221387211,36.0390453137288,"arcUP4351(F)","arcUP4351(F)","","","","","","","横","蓼洲作","蓼洲","",NA,"","","","","","","","","","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP4351(F)","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP4351(F).jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4351(F).jpg",NA
"100",0.025,-18.0481705466209,25.4966218833216,12.1467052567735,26.2987627965048,"arcUP4391","arcUP4391","「京都四条夜討之図」","「大多上総介平春永公」","","藤けい","","大判/錦絵","横","一魁斎芳年画","芳年","子三改",NA,"","","","","","","","","武者絵","立命館ARC","","https://www.dh-jac.net/db/nishikie/results-big.php?f1[]= arcUP4391","https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/arc/Prints/arcUP/arcUP4391.jpg","https://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP4391.jpg",NA
